right_shoulderx,right_shouldery,right_shoulderz,right_elbowx,right_elbowy,right_elbowz,right_wristx,right_wristy,right_wristz,right_palmx,right_palmy,right_palmz,neckx,necky,neckz,headx,heady,headz,torsox,torsoy,torsoz,left_shoulderx,left_shouldery,left_shoulderz,left_elbowx,left_elbowy,left_elbowz,left_wristx,left_wristy,left_wristz,left_palmx,left_palmy,left_palmz
0.1872,0.7192,1.4786,0.0979,0.607,1.123,0.0521,0.43375,0.96482,0.0357,0.38241,0.96046,0.3872,0.7192,1.4786,0.3872,0.7192,1.6286,0.3872,0.7192,0.8786,0.5872,0.7192,1.4786,0.5872,0.7192,1.1786,0.5872,0.7192,0.8786,0.5872,0.7192,0.7786
0.1839,0.7126,1.4752,0.0942,0.59749,1.12,0.0482,0.42335,0.9623,0.0318,0.37172,0.95841,0.3839,0.7126,1.4752,0.3839,0.7126,1.6252,0.3839,0.7126,0.8752,0.5839,0.7126,1.4752,0.5839,0.7126,1.1752,0.5839,0.7126,0.8752,0.5839,0.7126,0.7752
0.1808,0.7062,1.4718,0.0905,0.58819,1.117,0.0443,0.41314,0.95984,0.028,0.36123,0.95643,0.3808,0.7062,1.4718,0.3808,0.7062,1.6218,0.3808,0.7062,0.8718,0.5808,0.7062,1.4718,0.5808,0.7062,1.1718,0.5808,0.7062,0.8718,0.5808,0.7062,0.7718
0.1776,0.6999,1.4686,0.0869,0.5791,1.1141,0.0405,0.40314,0.95743,0.0243,0.35095,0.95449,0.3776,0.6999,1.4686,0.3776,0.6999,1.6186,0.3776,0.6999,0.8686,0.5776,0.6999,1.4686,0.5776,0.6999,1.1686,0.5776,0.6999,0.8686,0.5776,0.6999,0.7686
0.1746,0.6937,1.4654,0.0834,0.57019,1.1113,0.0367,0.39337,0.95505,0.0207,0.3409,0.95257,0.3746,0.6937,1.4654,0.3746,0.6937,1.6154,0.3746,0.6937,0.8654,0.5746,0.6937,1.4654,0.5746,0.6937,1.1654,0.5746,0.6937,0.8654,0.5746,0.6937,0.7654
0.1716,0.6877,1.4622,0.0799,0.56147,1.1085,0.0331,0.3838,0.95271,0.0171,0.33106,0.95068,0.3716,0.6877,1.4622,0.3716,0.6877,1.6122,0.3716,0.6877,0.8622,0.5716,0.6877,1.4622,0.5716,0.6877,1.1622,0.5716,0.6877,0.8622,0.5716,0.6877,0.7622
0.1687,0.6818,1.4591,0.0765,0.55293,1.1058,0.0295,0.37444,0.9504,0.0137,0.32145,0.94882,0.3687,0.6818,1.4591,0.3687,0.6818,1.6091,0.3687,0.6818,0.8591,0.5687,0.6818,1.4591,0.5687,0.6818,1.1591,0.5687,0.6818,0.8591,0.5687,0.6818,0.7591
0.1658,0.676,1.4561,0.0733,0.54457,1.1031,0.026,0.36529,0.94813,0.0103,0.31203,0.94698,0.3658,0.676,1.4561,0.3658,0.676,1.6061,0.3658,0.676,0.8561,0.5658,0.676,1.4561,0.5658,0.676,1.1561,0.5658,0.676,0.8561,0.5658,0.676,0.7561
0.163,0.6703,1.4532,0.07,0.53638,1.1004,0.0226,0.35632,0.94589,0.007,0.30282,0.94517,0.363,0.6703,1.4532,0.363,0.6703,1.6032,0.363,0.6703,0.8532,0.563,0.6703,1.4532,0.563,0.6703,1.1532,0.563,0.6703,0.8532,0.563,0.6703,0.7532
0.1603,0.6647,1.4502,0.0669,0.52834,1.09782,0.0193,0.34753,0.94369,0.0037,0.29379,0.94338,0.3603,0.6647,1.4502,0.3603,0.6647,1.6002,0.3603,0.6647,0.8502,0.5603,0.6647,1.4502,0.5603,0.6647,1.1502,0.5603,0.6647,0.8502,0.5603,0.6647,0.7502
