right_shoulderx,right_shouldery,right_shoulderz,right_elbowx,right_elbowy,right_elbowz,right_wristx,right_wristy,right_wristz,right_palmx,right_palmy,right_palmz,neckx,necky,neckz,headx,heady,headz,torsox,torsoy,torsoz,left_shoulderx,left_shouldery,left_shoulderz,left_elbowx,left_elbowy,left_elbowz,left_wristx,left_wristy,left_wristz,left_palmx,left_palmy,left_palmz
0.1872,0.7192,1.4786,0.0979,0.607,1.123,0.0521,0.43375,0.96482,0.0357,0.38241,0.96046,0.3872,0.7192,1.4786,0.3872,0.7192,1.6286,0.3872,0.7192,0.8786,0.5872,0.7192,1.4786,0.5872,0.7192,1.1786,0.5872,0.7192,0.8786,0.5872,0.7192,0.7786
0.1839,0.7126,1.4752,0.09472631578947369,0.5969636842105263,1.12,0.04872631578947369,0.4228236842105263,0.9623,0.03232631578947369,0.3711936842105263,0.95841,0.3839,0.7126,1.4752,0.3839,0.7126,1.6252,0.3839,0.7126,0.8752,0.5839,0.7126,1.4752,0.5839,0.7126,1.1752,0.5839,0.7126,0.8752,0.5839,0.7126,0.7752
0.1808,0.7062,1.4718,0.09207894736842105,0.586611052631579,1.117,0.045878947368421054,0.41156105263157894,0.95984,0.029578947368421052,0.3596510526315789,0.95643,0.3808,0.7062,1.4718,0.3808,0.7062,1.6218,0.3808,0.7062,0.8718,0.5808,0.7062,1.4718,0.5808,0.7062,1.1718,0.5808,0.7062,0.8718,0.5808,0.7062,0.7718
0.1776,0.6999,1.4686,0.09005789473684211,0.5759421052631578,1.1141,0.043657894736842104,0.3999821052631579,0.95743,0.027457894736842105,0.3477921052631579,0.95449,0.3776,0.6999,1.4686,0.3776,0.6999,1.6186,0.3776,0.6999,0.8686,0.5776,0.6999,1.4686,0.5776,0.6999,1.1686,0.5776,0.6999,0.8686,0.5776,0.6999,0.7686
0.1746,0.6937,1.4654,0.08866315789473685,0.5649268421052631,1.1113,0.04196315789473685,0.38810684210526314,0.95505,0.02596315789473684,0.3356368421052631,0.95257,0.3746,0.6937,1.4654,0.3746,0.6937,1.6154,0.3746,0.6937,0.8654,0.5746,0.6937,1.4654,0.5746,0.6937,1.1654,0.5746,0.6937,0.8654,0.5746,0.6937,0.7654
0.1716,0.6877,1.4622,0.08779473684210526,0.5535752631578947,1.1085,0.040994736842105264,0.3759052631578947,0.95271,0.024994736842105264,0.32316526315789473,0.95068,0.3716,0.6877,1.4622,0.3716,0.6877,1.6122,0.3716,0.6877,0.8622,0.5716,0.6877,1.4622,0.5716,0.6877,1.1622,0.5716,0.6877,0.8622,0.5716,0.6877,0.7622
0.1687,0.6818,1.4591,0.08755263157894737,0.5418773684210527,1.1058,0.04055263157894737,0.3633873684210526,0.9504,0.024752631578947366,0.31039736842105264,0.94882,0.3687,0.6818,1.4591,0.3687,0.6818,1.6091,0.3687,0.6818,0.8591,0.5687,0.6818,1.4591,0.5687,0.6818,1.1591,0.5687,0.6818,0.8591,0.5687,0.6818,0.7591
0.1658,0.676,1.4561,0.08803684210526316,0.5298331578947368,1.1031,0.040736842105263155,0.35055315789473684,0.94813,0.025036842105263156,0.2972931578947368,0.94698,0.3658,0.676,1.4561,0.3658,0.676,1.6061,0.3658,0.676,0.8561,0.5658,0.676,1.4561,0.5658,0.676,1.1561,0.5658,0.676,0.8561,0.5658,0.676,0.7561
0.163,0.6703,1.4532,0.08894736842105264,0.5174326315789474,1.1004,0.041547368421052625,0.33737263157894737,0.94589,0.02594736842105263,0.2838726315789474,0.94517,0.363,0.6703,1.4532,0.363,0.6703,1.6032,0.363,0.6703,0.8532,0.563,0.6703,1.4532,0.563,0.6703,1.1532,0.563,0.6703,0.8532,0.563,0.6703,0.7532
0.1603,0.6647,1.4502,0.0905842105263158,0.5046557894736843,1.09782,0.04298421052631579,0.3238457894736842,0.94369,0.02738421052631579,0.2701057894736842,0.94338,0.3603,0.6647,1.4502,0.3603,0.6647,1.6002,0.3603,0.6647,0.8502,0.5603,0.6647,1.4502,0.5603,0.6647,1.1502,0.5603,0.6647,0.8502,0.5603,0.6647,0.7502
